,日期,订单编号,下单时间,接单时长,店铺名称,店铺ID,店铺所在城市,订单支付类型,订单状态,订单配送状态,是否预订单,订单总金额,订单折扣后金额,平台承担活动金额,商家承担活动金额,商品分类,商品名称,UPC码,商品SKU码,商品销售数量,商品原价销售额,商品实付销售额,商品总补贴金额,商品商家补贴金额,商品平台补贴金额,是否部分退款商品,部分退款商品数量,部分退款商品金额,订单小额付款,配送费,是否活动订单,优惠活动,是否催单,回复状态,商家回复内容,配送时长,打包袋费,订单完成时间,订单取消原因（仅取消订单）,接单时间
6609,	20200824-20200826,75148910062270945,2020-08-25 14:07:30	,2秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,用户提交订单,否,598.0,264.0,0.0,373.0,约惠七夕33枝	,『瑰丽娇嫩』33枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花店,,XH009	,1,598.0,264.0,334.0,334.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『瑰丽娇嫩』33枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花店原价598.0元现价269.0元/用户使用了商家代金券减5元	,是,未回复,,0.00分,0.0,,其他	,2
6610,	20200824-20200826,75148910312975728,2020-08-25 14:21:01	,1秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,用户提交订单,否,158.0,98.0,5.0,94.0,生日快乐づ———	,『爱如潮水』11枝红玫瑰花束情人节爆款送女友鲜花店,,MFKSM2	,1,158.0,98.0,60.0,55.0,5.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1/用户使用了会员红包减5元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,1
6611,	20200824-20200826,75148913900237471,2020-08-25 14:28:29	,1秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,用户提交订单,否,299.0,194.0,0.0,144.0,蓝色爱恋づ———	,『Blue A3款』19枝蓝色玫瑰鲜花+配草+2只小熊 礼盒,,SAD1231ZS	,1,299.0,194.0,105.0,105.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,1
6612,	20200824-20200826,75148911363120396,2020-08-25 14:34:54	,1秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,用户提交订单,否,288.0,188.0,0.0,139.0,生日快乐づ———	,『爱丽舍』高端蓝色满天星搭配9枝白玫瑰大花束 送女友生日礼物,,AKSDAD13	,1,288.0,188.0,100.0,100.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1	,否,未回复,,0.00分,0.0,,其他	,1
6613,	20200824-20200826,75148911093934630,2020-08-25 14:35:57	,1秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,用户提交订单,否,258.0,184.0,0.0,113.0,约惠七夕19枝	,花店推荐鲜花 19枝白玫瑰+2只小熊礼盒 送女友情人生日礼物,,ALGZK06	,1,258.0,184.0,74.0,74.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买花店推荐鲜花 19枝白玫瑰+2只小熊礼盒 七夕情人节礼物原价258.0元现价189.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,1
6614,	20200824-20200826,75148912742513103,2020-08-25 14:47:26	,1秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,配送中,否,268.0,159.0,0.0,148.0,约惠七夕11枝	,『两厢情愿』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花,,XH003	,1,268.0,159.0,109.0,109.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『两厢情愿』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花原价268.0元现价159.0元	,是,未回复,,0.00分,0.0,,其他	,1
6615,	20200824-20200826,75148910026515543,2020-08-25 11:16:17	,2秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,用户提交订单,否,369.0,174.0,0.0,234.0,约惠七夕19枝	,『心有灵犀』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店,,TH007	,1,369.0,174.0,195.0,195.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『心有灵犀』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店原价369.0元现价179.0元/用户使用了商家代金券减5元	,是,未回复,,0.00分,0.0,,其他	,2
6616,	20200824-20200826,75148913266318408,2020-08-25 14:13:18	,2秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,配送中,否,158.0,108.0,0.0,89.0,生日快乐づ———	,『爱如潮水』11枝红玫瑰花束情人节爆款送女友鲜花店,,MFKSM2	,1,158.0,108.0,50.0,50.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1	,是,未回复,,0.00分,0.0,,其他	,2
6617,	20200824-20200826,75148913470084206,2020-08-25 08:41:33	,2秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,用户提交订单,否,138.0,88.0,0.0,89.0,生日快乐づ———	,『恩重如山』5枝向日葵花束 教师节礼物 送老师,,EZRS08	,1,138.0,88.0,50.0,50.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1	,否,未回复,,0.00分,0.0,,其他	,2
6618,	20200824-20200826,75148913152492135,2020-08-25 13:15:26	,1秒,花生活鲜花（花之恋花卉）	,7514891,珠海	,在线支付,订单取消,用户提交订单,否,158.0,108.0,0.0,89.0,生日快乐づ———	,『岁月如歌』3枝向日葵搭配桔梗花束 送老师 情人节礼物,,SYRG06	,1,158.0,108.0,50.0,50.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满39.9元赠精美贺卡（可写祝福语）*1	,否,未回复,,0.00分,0.0,,其他	,1
6629,	20200824-20200826,75148924016847411,2020-08-25 09:34:43	,59秒,花生活鲜花（花缘轩）	,7514892,厦门	,在线支付,订单取消,配送中,否,288.0,185.0,0.0,142.0,热销专区づ———	,『觅爱追欢』19枝粉玫瑰搭配尤加利红豆花束情人节送女友鲜花店,,QRJ007	,1,288.0,185.0,103.0,103.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,2020-08-25 14:43:20	,其他	,59
6644,	20200824-20200826,75148920312975728,2020-08-25 11:49:37	,369秒,花生活鲜花（花缘轩）	,7514892,厦门	,在线支付,订单取消,用户提交订单,否,369.0,141.0,0.0,267.0,约惠七夕19枝	,『心有灵犀』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店,,TH007	,1,369.0,141.0,228.0,228.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『心有灵犀』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店原价369.0元现价149.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,369
6645,	20200824-20200826,75148921093934630,2020-08-25 12:34:30	,0秒,花生活鲜花（花缘轩）	,7514892,厦门	,在线支付,订单取消,用户提交订单,否,598.0,236.0,0.0,401.0,约惠七夕33枝	,『红艳欲滴』33枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店,,QRJ009	,1,598.0,236.0,362.0,362.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『红艳欲滴』33枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店原价598.0元现价239.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,0
6646,	20200824-20200826,75148922742513103,2020-08-25 12:40:15	,0秒,花生活鲜花（花缘轩）	,7514892,厦门	,在线支付,订单取消,用户提交订单,否,598.0,231.0,0.0,406.0,约惠七夕33枝	,『红艳欲滴』33枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店,,QRJ009	,1,598.0,231.0,367.0,367.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『红艳欲滴』33枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店原价598.0元现价239.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
6650,	20200824-20200826,75148922665365337,2020-08-25 13:09:41	,0秒,花生活鲜花（花缘轩）	,7514892,厦门	,在线支付,订单取消,用户提交订单,否,198.0,150.0,0.0,87.0,店长推荐づ——	,『沉鱼落雁』11枝红玫瑰搭配尤加利礼盒520送女友情人节鲜花,,ZMM002	,1,198.0,150.0,48.0,48.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『沉鱼落雁』11枝红玫瑰搭配尤加利礼盒七夕礼物情人节鲜花原价198.0元现价158.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
6653,	20200824-20200826,75148921363120396,2020-08-25 12:31:08	,433秒,花生活鲜花（花缘轩）	,7514892,厦门	,在线支付,订单取消,已取消,否,238.0,136.0,0.0,141.0,店长推荐づ——	,『豆蔻年华』11枝粉玫瑰搭配满天星花束520送女友情人节鲜花,,ZMM009	,1,238.0,136.0,102.0,102.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『豆蔻年华』11枝粉玫瑰搭配满天星花束七夕礼物情人节鲜花原价238.0元现价139.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,93.32分,0.0,2020-08-25 19:14:55	,其他	,433
6654,	20200824-20200826,75148922474991043,2020-08-25 12:55:35	,10秒,花生活鲜花（花缘轩）	,7514892,厦门	,在线支付,订单取消,用户提交订单,否,888.0,356.0,0.0,571.0,约惠七夕52枝	,『繁花满园』52枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店,,XH016	,1,888.0,356.0,532.0,532.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『繁花满园』52枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店原价888.0元现价359.0元/门店新客立减3.0元/送3元商家代金券	,是,未回复,,0.00分,0.0,,其他	,10
6665,	20200824-20200826,75148963966510833,2020-08-24 17:35:08	,0秒,花生活鲜花（爱尚花艺）	,7514896,安顺	,在线支付,订单取消,用户提交订单,是,399.0,146.0,0.0,292.0,约惠七夕19枝	,『风情月意』19枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花,,38014	,1,399.0,146.0,253.0,253.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『风情月意』19枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花原价399.0元现价149.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,0
6670,	20200824-20200826,75148963968253920,2020-08-25 11:03:14	,18秒,花生活鲜花（爱尚花艺）	,7514896,安顺	,在线支付,订单取消,配送中,否,269.0,126.0,0.0,182.0,约惠七夕11枝	,『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,qx20200825001	,1,269.0,126.0,143.0,143.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价269.0元现价129.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,18
6699,	20200824-20200826,75148962501118848,2020-08-25 18:15:45	,0秒,花生活鲜花（爱尚花艺）	,7514896,安顺	,在线支付,订单取消,用户提交订单,否,399.0,146.0,0.0,292.0,约惠七夕19枝	,『眉目传情』19枝粉玫瑰搭配尤加利精致礼盒七夕情人节礼物鲜花,,38007	,1,399.0,146.0,253.0,253.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『眉目传情』19枝粉玫瑰搭配尤加利精致礼盒七夕情人节礼物鲜花原价399.0元现价149.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,0
6709,	20200824-20200826,75148963585519881,2020-08-26 15:11:12	,0秒,花生活鲜花（爱尚花艺）	,7514896,安顺	,在线支付,订单取消,用户提交订单,否,348.0,136.0,0.0,251.0,活动专区づ———	,『情有独钟』11枝红玫瑰鲜花礼盒七夕情人节送女友表白礼物,,ASD12354	,1,348.0,136.0,212.0,212.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情有独钟』11枝红玫瑰鲜花礼盒七夕情人节送女友表白礼物原价348.0元现价139.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,0
6745,	20200824-20200826,75152860075108782,2020-08-25 10:12:30	,1秒,花生活鲜花（窑辉鲜花礼仪）	,7515286,拉萨	,在线支付,订单取消,用户提交订单,否,308.0,196.0,0.0,151.0,活动专区づ———	,『嫁给我把』11枝红玫瑰花束七夕礼物送女友送闺蜜鲜花店,,TH002	,1,308.0,196.0,112.0,112.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『嫁给我把』11枝红玫瑰花束七夕礼物送女友送闺蜜鲜花店原价308.0元现价199.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,1
6766,	20200824-20200826,75152863403255763,2020-08-25 13:57:50	,0秒,花生活鲜花（窑辉鲜花礼仪）	,7515286,拉萨	,在线支付,订单取消,用户提交订单,否,219.0,207.0,0.0,51.0,折扣专区づ———	,『Niu郎款』11枝红玫瑰鲜花花束送女友闺蜜圣诞爆款鲜花店,,NLK01	,1,199.0,189.0,10.0,10.0,0.0,否,0,0.0,0.0,20.0,是,满188.0元减7.0元/满39.9元赠精美贺卡（可写祝福语）*1/门店新客立减3.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,0
6767,	20200824-20200826,75152863022998726,2020-08-25 13:59:29	,0秒,花生活鲜花（窑辉鲜花礼仪）	,7515286,拉萨	,在线支付,订单取消,用户提交订单,否,324.0,263.0,0.0,100.0,约惠七夕11枝	,『心心相印』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,qx20200825001	,1,269.0,210.0,59.0,59.0,0.0,否,0,0.0,0.0,55.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价269.0元现价218.0元/门店新客立减3.0元/减配送费2.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
6791,	20200824-20200826,75152863536875943,2020-08-25 15:03:43	,0秒,花生活鲜花（窑辉鲜花礼仪）	,7515286,拉萨	,在线支付,订单取消,用户提交订单,否,376.0,205.0,0.0,210.0,店长推荐づ——	,『如花似玉』6枝粉玫瑰+3枝白玫瑰花束520送女友情人节鲜花,,ZMM011	,1,376.0,205.0,171.0,171.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『如花似玉』6枝粉玫瑰+3枝白玫瑰花束七夕礼物情人节鲜花原价376.0元现价208.0元/门店新客立减3.0元	,是,未回复,,0.00分,0.0,,其他	,0
6799,	20200824-20200826,75152863922363539,2020-08-25 15:20:11	,0秒,花生活鲜花（窑辉鲜花礼仪）	,7515286,拉萨	,在线支付,订单取消,用户提交订单,否,333.0,320.0,0.0,52.0,满天星星づ———	,满天星『以爱为名』,,AMSADA2	,1,318.0,307.0,11.0,11.0,0.0,否,0,0.0,0.0,15.0,是,满210.0元减8.0元/满39.9元赠精美贺卡（可写祝福语）*1/门店新客立减3.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,0
6800,	20200824-20200826,75152861719882091,2020-08-25 15:21:07	,1秒,花生活鲜花（窑辉鲜花礼仪）	,7515286,拉萨	,在线支付,订单取消,用户提交订单,否,453.0,228.0,0.0,264.0,约惠七夕11枝	,『爱情爱情』11枝红玫瑰鲜花礼盒 生日鲜花甜蜜爱人,,aqaqzk007	,1,438.0,215.0,223.0,223.0,0.0,否,0,0.0,0.0,15.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『爱情爱情』11枝红玫瑰鲜花礼盒 七夕情人节生日鲜花原价438.0元现价218.0元/门店新客立减3.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,,其他	,1
6810,	20200824-20200826,75152860640844423,2020-08-25 22:19:42	,1秒,花生活鲜花（窑辉鲜花礼仪）	,7515286,拉萨	,在线支付,订单取消,用户提交订单,否,269.0,215.0,0.0,93.0,约惠七夕11枝	,『心心相印』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,qx20200825001	,1,269.0,215.0,54.0,54.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价269.0元现价218.0元/门店新客立减3.0元	,否,未回复,,0.00分,0.0,,其他	,1
6819,	20200824-20200826,75152883152492135,2020-08-25 16:55:20	,0秒,花生活鲜花（绿如蓝花店）	,7515288,达州	,在线支付,订单取消,用户提交订单,否,298.0,124.0,0.0,213.0,约惠七夕11枝	,『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店,,TH002	,1,298.0,124.0,174.0,174.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店原价298.0元现价129.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
6828,	20200824-20200826,75152880075108782,2020-08-25 12:05:31	,0秒,花生活鲜花（绿如蓝花店）	,7515288,达州	,在线支付,订单取消,用户提交订单,否,399.0,149.0,0.0,289.0,约惠七夕19枝	,『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,31401	,1,399.0,149.0,250.0,250.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价399.0元现价149.0元	,否,未回复,,0.00分,0.0,,其他	,0
6853,	20200824-20200826,75152883892506751,2020-08-25 11:50:04	,169秒,花生活鲜花（绿如蓝花店）	,7515288,达州	,在线支付,订单取消,配送中,否,419.0,167.0,0.0,291.0,约惠七夕19枝	,『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,31401	,1,399.0,149.0,250.0,250.0,0.0,否,0,0.0,0.0,20.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价399.0元现价149.0元/减配送费2.0元	,否,未回复,,0.00分,0.0,2020-08-25 16:12:17	,其他	,169
6864,	20200824-20200826,75454872141837702,2020-08-25 13:30:31	,0秒,花生活鲜花（雨辉花店）	,7545487,福州	,在线支付,订单取消,用户提交订单,否,308.0,188.0,0.0,159.0,折扣专区づ———	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,,CHZL	,1,298.0,181.0,117.0,117.0,0.0,否,0,0.0,0.0,10.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『彩虹之恋』满天星鲜花花束 七夕礼物送女友送闺蜜推荐鲜花原价298.0元现价189.0元/门店新客立减3.0元/减配送费3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
6874,	20200824-20200826,75454882024161140,2020-08-24 21:08:31	,0秒,花生活鲜花（海天花艺）	,7545488,咸阳	,在线支付,订单取消,用户提交订单,否,205.0,105.0,0.0,139.0,热销专区づ———	,『花晨月夕』11枝红玫瑰情人节送女友送闺蜜鲜花花束,,,1,205.0,105.0,100.0,100.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1	,否,未回复,,0.00分,0.0,,其他	,0
6875,	20200824-20200826,75454882800320932,2020-08-24 21:13:51	,0秒,花生活鲜花（海天花艺）	,7545488,咸阳	,在线支付,订单取消,用户提交订单,否,205.0,105.0,0.0,139.0,热销专区づ———	,『花晨月夕』11枝红玫瑰情人节送女友送闺蜜鲜花花束,,,1,205.0,105.0,100.0,100.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1	,否,未回复,,0.00分,0.0,,其他	,0
6881,	20200824-20200826,75454881300204059,2020-08-25 09:02:52	,0秒,花生活鲜花（海天花艺）	,7545488,咸阳	,在线支付,订单取消,用户提交订单,否,205.0,105.0,0.0,139.0,热销专区づ———	,『目成心许』11枝粉玫瑰情人节送女友送闺蜜鲜花花束,,,1,205.0,105.0,100.0,100.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满39.9元赠精美贺卡（可写祝福语）*1	,否,未回复,,0.00分,0.0,,其他	,0
6882,	20200824-20200826,75454880358768070,2020-08-25 14:38:04	,79秒,花生活鲜花（海天花艺）	,7545488,咸阳	,在线支付,订单取消,用户提交订单,否,198.0,158.0,0.0,79.0,店长推荐づ——	,『沉鱼落雁』11枝红玫瑰搭配尤加利礼盒520送女友情人节鲜花,,ZMM002	,1,198.0,158.0,40.0,40.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『沉鱼落雁』11枝红玫瑰搭配尤加利礼盒七夕礼物情人节鲜花原价198.0元现价158.0元	,否,未回复,,0.00分,0.0,,其他	,79
6883,	20200824-20200826,75454893049752078,2020-08-24 17:28:06	,0秒,花生活鲜花（花草堂鲜花店）	,7545489,银川	,在线支付,订单取消,用户提交订单,是,348.0,131.0,0.0,256.0,活动专区づ———	,『情有独钟』11枝红玫瑰鲜花礼盒七夕情人节送女友表白礼物,,ASD12354	,1,348.0,131.0,217.0,217.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情有独钟』11枝红玫瑰鲜花礼盒七夕情人节送女友表白礼物原价348.0元现价139.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
6887,	20200824-20200826,75454893953410923,2020-08-25 18:08:42	,0秒,花生活鲜花（花草堂鲜花店）	,7545489,银川	,在线支付,订单取消,用户提交订单,否,299.0,116.0,5.0,217.0,约惠七夕11枝	,『情真意切』11枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花,,TH003	,1,299.0,116.0,183.0,178.0,5.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/用户使用了会员红包减5元/购买『情真意切』11枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花原价299.0元现价129.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
6888,	20200824-20200826,75454893382704585,2020-08-25 09:07:42	,21秒,花生活鲜花（花草堂鲜花店）	,7545489,银川	,在线支付,订单取消,用户提交订单,否,399.0,146.0,0.0,292.0,约惠七夕19枝	,『眉目传情』19枝粉玫瑰搭配尤加利精致礼盒七夕情人节礼物鲜花,,38007	,1,399.0,146.0,253.0,253.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『眉目传情』19枝粉玫瑰搭配尤加利精致礼盒七夕情人节礼物鲜花原价399.0元现价149.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,21
6893,	20200824-20200826,75454892386186755,2020-08-25 02:03:10	,35秒,花生活鲜花（花草堂鲜花店）	,7545489,银川	,在线支付,订单取消,用户提交订单,否,298.0,146.0,0.0,191.0,约惠七夕11枝	,『美满良缘』11枝红玫瑰搭配桔梗韩式花束七夕情人节礼物鲜花,,TH006	,1,298.0,146.0,152.0,152.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『美满良缘』11枝红玫瑰搭配桔梗韩式花束七夕情人节礼物鲜花原价298.0元现价149.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,35
6898,	20200824-20200826,75454891223213925,2020-08-25 09:25:33	,41秒,花生活鲜花（花草堂鲜花店）	,7545489,银川	,在线支付,订单取消,用户提交订单,否,498.0,156.0,0.0,381.0,约惠七夕19枝	,『国色天香』19枝红玫瑰精致抱抱通七夕情人节礼物鲜花店,,TH009	,1,498.0,156.0,342.0,342.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『国色天香』19枝红玫瑰精致抱抱通七夕情人节礼物鲜花店原价498.0元现价159.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,41
6899,	20200824-20200826,75454893892506751,2020-08-25 09:33:11	,21秒,花生活鲜花（花草堂鲜花店）	,7545489,银川	,在线支付,订单取消,用户提交订单,否,348.0,131.0,0.0,256.0,活动专区づ———	,『情有独钟』11枝红玫瑰鲜花礼盒七夕情人节送女友表白礼物,,ASD12354	,1,348.0,131.0,217.0,217.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情有独钟』11枝红玫瑰鲜花礼盒七夕情人节送女友表白礼物原价348.0元现价139.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,21
6904,	20200824-20200826,75454893982058332,2020-08-25 10:30:40	,16秒,花生活鲜花（花草堂鲜花店）	,7545489,银川	,在线支付,订单取消,用户提交订单,否,299.0,121.0,0.0,217.0,约惠七夕11枝	,『情真意切』11枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花,,TH003	,1,299.0,121.0,178.0,178.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『情真意切』11枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花原价299.0元现价129.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,16
6909,	20200824-20200826,75454892454686031,2020-08-25 12:44:41	,0秒,花生活鲜花（花草堂鲜花店）	,7545489,银川	,在线支付,订单取消,用户提交订单,否,299.0,126.0,0.0,212.0,约惠七夕11枝	,『花信年华』11枝香槟玫瑰搭配苹果也礼盒七夕情人节礼物鲜花店,,TH004	,1,299.0,126.0,173.0,173.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『花信年华』11枝香槟玫瑰搭配苹果也礼盒七夕情人节礼物鲜花店原价299.0元现价129.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,0
